tag,phase,water,distance_m,turb,lam_nm,n_qubit,n_click,n_sift,n_err,p_click_meas,p_click_sim,p_click_ratio,z_click,qber_meas_pct,qber_lo_pct,qber_hi_pct,qber_sim_pct,qber_in_CI,skr_meas_pp,skr_sim_pp,cv_h_meas,cv_h_sim,sigma2_h_meas,sigma2_h_sim,irrad_sat,n_blocks,var_click,seconds,secure_meas
fixed_A_dist_d6_L3,fixed,clear_ocean,35.0,3,450,9119008,2366,1200,56,0.00025945804631380957,0.00027805438382544345,0.9331197830590282,-0.8016111661337498,4.666666666666667,3.5440990104981815,6.017550316503035,5.835669154691107,True,4.7561021095943556e-05,4.980322136504231e-05,0.4428980744008225,0.9558781317282251,0.1961587043079565,0.913703002716242,0.31783601014370244,139.14501953125,44753.037436240564,2447.9534257999912,True
fixed_A_dist_d7_L3,fixed,clear_ocean,40.0,3,450,8347904,1231,600,43,0.00014746216535312337,0.00013061992737861683,1.128940800324344,1.272753475855405,7.166666666666667,5.234782323673622,9.532314344396937,8.454949624129844,True,8.441092466367248e-06,1.0709504699044388e-05,0.3887033055963499,1.0911118621971128,0.1510902597815294,1.190525095827251,0.545085296506905,127.37890625,12202.98022817958,2211.2565315999964,True
fixed_A_dist_d9_L3,fixed,clear_ocean,50.0,3,450,9527168,295,150,40,3.096408082653733e-05,3.828578902742574e-05,0.8087617262989261,-1.505146968409913,26.666666666666668,19.78420832095106,34.494920940771415,19.731616583077386,False,0.0,0.0,0.637636704595981,1.3957966536287043,0.4065805670480223,1.9482482982810891,0.18983050847457628,145.373046875,2147.804083461605,2517.0133492999885,False
fixed_D_coastal_d0_L3,fixed,coastal,2.0,3,450,1293440,10330,5000,136,0.007986454725383474,0.008527972063457012,0.9365010422121363,-4.6230033490458275,2.7199999999999998,2.286898230050078,3.209412526045353,2.601714579393616,True,0.0023128531541797264,0.0027800614532604642,0.09663173558958109,0.04397993403987407,0.009337692323054713,0.001934234598151674,0.0,19.736328125,22954.555712376306,390.08839600000647,True
fixed_D_coastal_d1_L3,fixed,coastal,4.0,3,450,2467296,10035,5000,177,0.0040672055562040385,0.004067421797796844,0.9999468357098045,-0.002884798287641747,3.54,3.045086175740615,4.090063383253318,3.622680478399798,True,0.0010444049550330965,0.0011196948226524109,0.13602280399565536,0.095052613698251,0.018502203206840477,0.009034999370868935,0.0,37.64794921875,34205.03738643875,702.6932150000066,True
fixed_D_coastal_d2_L3,fixed,coastal,6.0,3,450,3937504,7983,4000,180,0.0020274265118206862,0.001941251905035024,1.0443912542015548,1.967735525581355,4.5,3.8785225238933005,5.188979474842502,4.365109497883406,True,0.00042737106440577836,0.000468251520817758,0.1306746476624419,0.15072243024893323,0.017075863541703335,0.022717250980144543,0.0,60.08154296875,29734.94803399316,1077.1286405999854,True
fixed_D_coastal_d3_L3,fixed,coastal,8.0,3,450,6660672,5999,3000,162,0.0009006598733581236,0.0009295490468193002,0.9689213026896982,-1.2826441565323623,5.4,4.618386120947672,6.269953691244306,5.055315835707633,True,0.00015086704157631515,0.00019637457668842442,0.2994966587347913,0.2079761934860893,0.08969824859330405,0.04325409705696326,0.022337056176029338,101.6337890625,22505.774059695825,1785.4149217000231,True
fixed_D_coastal_d4_L3,fixed,coastal,10.0,3,450,8660544,3997,2000,119,0.0004615183526577545,0.00044854417328565876,1.0289250873042397,1.0276469086288318,5.949999999999999,4.953466723336207,7.07795372688371,5.955080089678546,True,6.375519232865044e-05,7.819955907922394e-05,0.31467360093623925,0.2658509381375221,0.09901947512617955,0.07067672130860059,0.01426069552164123,132.1494140625,11955.350154434378,2304.2868191999733,True
fixed_D_coastal_d5_L3,fixed,coastal,13.0,3,450,10540768,1587,800,62,0.00015055828949086064,0.00015564409896517972,0.9673241098883109,-0.8779111672025297,7.75,5.993219391661915,9.825312367917066,8.598639319760695,True,7.2102173782150584e-06,1.1995631836504349e-05,0.2712463727523741,0.353241294294043,0.07357459473131989,0.12477941199453069,0.0,160.83935546875,3728.752312421916,2792.0104234000028,True
fixed_D_coastal_d6_L3,fixed,coastal,16.0,3,450,10105504,603,300,60,5.967045285420698e-05,5.971244791569408e-05,0.9992967117753003,-0.013007802324922288,20.0,15.623130113666425,24.980440153066098,14.730706867951449,False,0.0,0.0,0.4108786419743116,0.4418295665227347,0.16882125843065454,0.19521336585366766,0.11442786069651742,154.19775390625,1064.3992077079165,2671.7085300000035,False
fixed_D_coastal_d7_L3,fixed,coastal,19.0,3,450,12072992,302,150,34,2.5014511729983754e-05,2.8296688824980265e-05,0.8840084394574459,-1.7338650947483483,22.666666666666664,16.236927195059327,30.20774325061648,25.6515929695652,True,0.0,0.0,0.4151760114042399,0.5340350930699231,0.17237112044553352,0.28519348063020145,0.07947019867549669,184.21923828125,522.3038643848614,3189.513554299978,False
fixed_D_harbor_d0_L3,fixed,harbor,0.5,3,450,2044896,9915,5000,212,0.004848657340030984,0.005123440206782459,0.9463675078343425,-4.415320485944041,4.24,3.6983519961445404,4.835855446198105,3.9494256832988817,True,0.0010993072034019952,0.001332255579203905,0.16287503086537994,0.040319177363533104,0.02652827567939847,0.0016256360632720401,0.0,31.20263671875,16195.60911584928,591.0254727000138,True
fixed_D_harbor_d1_L3,fixed,harbor,1.0,3,450,5429056,7882,4000,220,0.0014518177745818058,0.0014703280283878684,0.9874107998700412,-1.0088494458183443,5.5,4.813716885472532,6.252154231868456,5.060024092553427,True,0.00024669825772308577,0.0003103255424912349,0.24111765400108023,0.05022086005304911,0.058137723070984644,0.0025221347844679443,0.025120527784826187,82.8408203125,9922.490015680556,1469.5169060000044,True
fixed_D_harbor_d2_L3,fixed,harbor,1.5,3,450,7381056,3072,1500,90,0.0004162006086933902,0.0004280375422650584,0.9723460388333454,-1.475738138318573,6.0,4.851980168886719,7.3237942465433274,6.270258076779562,True,5.286633963620981e-05,6.930740105036413e-05,0.1735558243489092,0.06245537534042846,0.030121624165429427,0.0039006739089137987,0.0,112.6259765625,3505.070996108163,1962.7601930999954,True
fixed_D_harbor_d3_L3,fixed,harbor,2.0,3,450,8973184,1202,600,57,0.0001339546809694307,0.00013115590192103177,1.0213393298159321,0.7141891092761214,9.5,7.2746910014549595,12.133062092934676,9.43422220892,True,0.0,6.452887374304424e-06,0.19581904266601494,0.07678468081674635,0.038345097470634575,0.005895887208129613,0.0,136.919921875,1236.5279237181883,2373.8688119,False
fixed_D_harbor_d4_L3,fixed,harbor,2.5,3,450,11312096,512,250,36,4.526128491130203e-05,4.663390781900478e-05,0.9705659900296117,-0.6672595217822269,14.399999999999999,10.293748239869423,19.374252251983428,17.538448900644074,True,0.0,0.0,0.21520901597609907,0.09309790988900839,0.046314920557400864,0.008667220825701927,0.0,172.60888671875,541.5007837719894,2989.506888200005,False
fixed_D_harbor_d5_L3,fixed,harbor,3.0,3,450,10427232,236,120,38,2.263304393725967e-05,2.2573838763917387e-05,1.0026227339515208,0.039874035157352467,31.666666666666664,23.478487047894077,40.78469324799685,30.913931539319705,True,0.0,0.0,0.19395126846065294,0.11141088338447551,0.037617094537496266,0.012412384936509202,0.0,159.10693359375,239.7049552479417,2754.323858000018,False
fixed_D_harbor_d6_L3,fixed,harbor,3.5,3,450,9577632,159,80,34,1.660118075115018e-05,1.572515463754698e-05,1.055708584989779,0.6776289388611116,42.5,31.51097654523422,54.06111885690619,42.2014279234018,True,0.0,0.0,0.14991940963376016,0.13186379900279338,0.022475829384935177,0.01738806148744909,0.0,146.14306640625,153.3085964140946,2529.057247399993,False
fixed_C_lam_clear_450,fixed,clear_ocean,5.0,3,450,89184,809,400,6,0.00907113383566559,0.010390705048429205,0.8730046511171927,-1.155340311528071,1.5,0.5524109504580662,3.236129448077496,1.6426354950882422,True,0.002768891279027343,0.003939372153857476,0.04171846332130413,0.12236749907614805,0.0017404301818909982,0.014973804830151094,0.0,1.36083984375,10375.754936750945,27.765359199984232,True
fixed_C_lam_clear_532,fixed,clear_ocean,5.0,3,532,83072,847,400,9,0.010195974576271187,0.009442802606983491,1.079761486142968,0.7360543462714354,2.25,1.0338850958683778,4.228103003667277,1.7421333218010462,True,0.00252904812438322,0.003524938463100037,0.0521925463016107,0.11519040438778493,0.002724061889445777,0.01326882926302142,0.0,1.267578125,7225.66573782387,26.521738299983554,True
