tag,water,distance_m,turb,lam_nm,coh_qubits,n_qubit,seg_mode,n_blocks,n_blocks_expected,n_blocks_valid,sift_per_block,qber_pooled_pct,qber_win_mean_pct,qber_win_std_pct,qber_win_p90_pct,outage,n_dead,sim_qber_win_mean_pct,sim_qber_win_std_pct,sim_qber_win_p90_pct,sim_outage,sim_qber_pooled_pct,sim_sigma2_ho_rom,cont_qber_win_mean_pct,cont_qber_win_std_pct,cont_outage
fixed_D_harbor_d3_L3,harbor,2.0,3,450,65536,8973184,attempt,137,137,134,4.37956204379562,9.5,11.564129301355578,18.504298018385263,33.33333333333333,0.3722627737226277,11,10.216270580114331,17.18840351335389,33.33333333333333,0.34245,9.404866471604494,0.020005134640010473,10.039653450715951,16.882139945037107,0.3413
fixed_D_harbor_d4_L3,harbor,2.5,3,450,65536,11312096,attempt,173,173,128,1.4450867052023122,14.399999999999999,23.680154142581888,27.816754223290513,50.0,0.45664739884393063,73,24.871470238095235,30.553123853272368,50.0,0.45655,17.595567503770244,0.020005134640010473,24.791558531746034,30.510441458455663,0.4552
fixed_D_harbor_d5_L3,harbor,3.0,3,450,65536,10427232,attempt,160,160,78,0.75,31.666666666666664,43.958333333333336,31.374059304180296,100.0,0.7375,116,40.257250000000006,31.93850758695441,100.0,0.682975,31.22823624868995,0.020005134640010473,40.04070833333333,31.814007153531136,0.6815
fixed_D_harbor_d6_L3,harbor,3.5,3,450,65536,9577632,attempt,147,147,60,0.54421768707483,42.5,46.71201814058957,29.58770963652939,100.0,0.7891156462585034,116,46.956291666666665,29.71064517649894,100.0,0.792125,42.668344870988044,0.020005134640010473,46.99945833333333,29.732030282283063,0.7924
fixed_C_lam_clear_450,clear_ocean,5.0,3,450,65536,89184,attempt,2,2,2,200.0,1.5,1.5390965915791956,0.1002476707158863,1.6192947281519048,0.0,0,1.6425497635910484,0.6958871943898213,2.564102564102564,0.0,1.641963799945484,0.020005134640010473,1.6419773070610975,0.6941048872775925,0.0
fixed_C_lam_clear_532,clear_ocean,5.0,3,532,65536,83072,attempt,2,2,2,200.0,2.25,2.4891774891774894,0.36796536796536783,2.7835497835497836,0.0,0,1.7410351667566553,0.7484762934358105,2.734493731003038,0.0,1.7400785691409977,0.01712329749848183,1.7418830371372849,0.7478342798087136,0.0
fixed_C_lam_clear_650,clear_ocean,5.0,3,650,65536,238272,attempt,4,4,4,100.0,3.5000000000000004,3.704659830033709,2.7699864544503736,6.672482552342972,0.0,0,2.712316611703803,1.5540938445038963,4.8,2.5e-05,2.7091729433931713,0.014101383668949849,2.711094240626336,1.5516247296964907,5e-05
fixed_C_lam_harbor_450,harbor,0.5,3,450,65536,142304,attempt,3,3,3,133.33333333333334,4.75,3.5245695929327914,2.603000920991691,5.838879686794157,0.0,0,3.953185800440738,1.5181332766914692,5.960264900662252,0.0001,3.9527000936123518,0.020005134640010473,3.952898610399236,1.5055392659688631,2.5e-05
fixed_C_lam_harbor_532,harbor,0.5,3,532,65536,105472,attempt,2,2,2,200.0,3.5000000000000004,3.429101019462465,0.417052826691381,3.7627432808155703,0.0,0,3.480793183361366,1.215804632192946,5.092592592592593,0.0,3.478854897955648,0.01712329749848183,3.4803971260595894,1.2034907839644104,0.0
fixed_C_lam_harbor_650,harbor,0.5,3,650,65536,120160,attempt,2,2,2,200.5,2.7431421446384037,2.698400762019351,0.5126084122925754,3.108487491853412,0.0,0,3.3200922525937364,1.1305479673707948,4.807692307692308,0.0,3.3165760410951055,0.014101383668949849,3.3173588895185473,1.1228869449277756,0.0
