tag,phase,water,dist_idx,distance_m,turb,lam_nm,n_qubit,n_click,n_sift,n_err,p_click,sift_eff,qber,qber_hi,secure,skr_per_pulse,seconds,rate_qps,p_click_model,qber_model,coh_sel,coh_qubits,dyn_walk,timestamp
fixed_A_dist_d9_L3,fixed,clear_ocean,9,50.0,3,450,9527168,295,150,40,3.096408082653733e-05,1.574444787790034e-05,0.26666666666666666,0.33256313843059593,False,0.0,2517.0133492999885,3785.1082524650174,3.828578902742574e-05,0.19731616583077385,11,65536,False,2026-08-08 16:11:14
fixed_D_coastal_d0_L3,fixed,coastal,0,2.0,3,450,1293440,10330,5000,136,0.007986454725383474,0.0038656605640771894,0.0272,0.03129522348488319,True,0.0023128531541797264,390.08839600000647,3315.7612819633287,0.008527972063457012,0.026017145793936162,11,65536,False,2026-08-08 16:27:44
fixed_D_coastal_d1_L3,fixed,coastal,1,4.0,3,450,2467296,10035,5000,177,0.0040672055562040385,0.002026509993126078,0.0354,0.04000484072975855,True,0.0010444049550330965,702.6932150000066,3511.199407269041,0.004067421797796844,0.03622680478399798,11,65536,False,2026-08-08 16:39:27
fixed_D_coastal_d2_L3,fixed,coastal,2,6.0,3,450,3937504,7983,4000,180,0.0020274265118206862,0.0010158719838760798,0.045,0.050768624701290045,True,0.00042737106440577836,1077.1286405999854,3655.5559397313214,0.001941251905035024,0.04365109497883406,11,65536,False,2026-08-08 16:57:24
fixed_D_coastal_d3_L3,fixed,coastal,3,8.0,3,450,6660672,5999,3000,162,0.0009006598733581236,0.00045040500417975845,0.054,0.06128392738221273,True,0.00015086704157631515,1785.4149217000231,3730.601732429732,0.0009295490468193002,0.05055315835707633,11,65536,False,2026-08-08 17:27:10
fixed_D_coastal_d4_L3,fixed,coastal,4,10.0,3,450,8660544,3997,2000,119,0.0004615183526577545,0.00023093237561058521,0.0595,0.06894157314449674,True,6.375519232865044e-05,2304.2868191999733,3758.448786773367,0.00044854417328565876,0.05955080089678546,11,65536,False,2026-08-08 18:05:34
fixed_D_coastal_d5_L3,fixed,coastal,5,13.0,3,450,10540768,1587,800,62,0.00015055828949086064,7.589579810503371e-05,0.0775,0.0948637234591818,True,7.2102173782150584e-06,2792.0104234000028,3775.332610386124,0.00015564409896517972,0.08598639319760694,11,65536,False,2026-08-08 18:52:06
fixed_D_coastal_d6_L3,fixed,coastal,6,16.0,3,450,10105504,603,300,60,5.967045285420698e-05,2.968679246477959e-05,0.2,0.24180637257486595,False,0.0,2671.7085300000035,3782.4125972304273,5.971244791569408e-05,0.14730706867951449,11,65536,False,2026-08-08 19:36:38
fixed_D_coastal_d7_L3,fixed,coastal,7,19.0,3,450,12072992,302,150,34,2.5014511729983754e-05,1.2424426355952195e-05,0.22666666666666666,0.2900660543359306,False,0.0,3189.513554299978,3785.214200994275,2.8296688824980265e-05,0.256515929695652,11,65536,False,2026-08-08 20:29:48
fixed_D_harbor_d0_L3,fixed,harbor,0,0.5,3,450,2044896,9915,5000,212,0.004848657340030984,0.002445112123061515,0.0424,0.04738964084284613,True,0.0010993072034019952,591.0254727000138,3459.91178799484,0.005123440206782459,0.039494256832988815,11,65536,False,2026-08-08 20:39:39
fixed_D_harbor_d1_L3,fixed,harbor,1,1.0,3,450,5429056,7882,4000,220,0.0014518177745818058,0.0007367763382805408,0.055,0.06129967100107354,True,0.00024669825772308577,1469.5169060000044,3694.4495009436687,0.0014703280283878684,0.05060024092553427,11,65536,False,2026-08-08 21:04:09
fixed_D_harbor_d2_L3,fixed,harbor,2,1.5,3,450,7381056,3072,1500,90,0.0004162006086933902,0.00020322295346356944,0.06,0.07107704964395785,True,5.286633963620981e-05,1962.7601930999954,3760.5490604240936,0.0004280375422650584,0.06270258076779563,11,65536,False,2026-08-08 21:36:52
fixed_D_harbor_d3_L3,fixed,harbor,3,2.0,3,450,8973184,1202,600,57,0.0001339546809694307,6.686589732251117e-05,0.095,0.11703803805136923,False,0.0,2373.8688119,3779.983103960169,0.00013115590192103177,0.0943422220892,11,65536,False,2026-08-08 22:16:26
fixed_D_harbor_d4_L3,fixed,harbor,4,2.5,3,450,11312096,512,250,36,4.526128491130203e-05,2.2100236773096692e-05,0.144,0.18568457378693431,False,0.0,2989.506888200005,3783.9337466156708,4.663390781900478e-05,0.17538448900644074,11,65536,False,2026-08-08 23:06:16
fixed_D_harbor_d5_L3,fixed,harbor,5,3.0,3,450,10427232,236,120,38,2.263304393725967e-05,1.1508327425725254e-05,0.31666666666666665,0.39358987128247347,False,0.0,2754.323858000018,3785.7683183165936,2.2573838763917387e-05,0.30913931539319706,11,65536,False,2026-08-08 23:52:10
fixed_D_harbor_d6_L3,fixed,harbor,6,3.5,3,450,9577632,159,80,34,1.660118075115018e-05,8.352795346490657e-06,0.425,0.5231037983319347,False,0.0,2529.057247399993,3787.036457892095,1.572515463754698e-05,0.422014279234018,11,65536,False,2026-08-09 00:34:19
fixed_C_lam_clear_450,fixed,clear_ocean,0,5.0,3,450,89184,809,400,6,0.00907113383566559,0.004485109436670255,0.015,0.029390108438798985,True,0.002768891279027343,27.765359199984232,3212.060011816834,0.010390705048429205,0.016426354950882422,11,65536,False,2026-08-09 00:48:43
fixed_C_lam_clear_532,fixed,clear_ocean,0,5.0,3,532,83072,847,400,9,0.010195974576271187,0.004815100154083205,0.0225,0.03893411986771057,True,0.00252904812438322,26.521738299983554,3132.2230488961395,0.009442802606983491,0.01742133321801046,11,65536,False,2026-08-09 00:49:10
fixed_C_lam_clear_650,fixed,clear_ocean,0,5.0,3,650,238272,741,400,14,0.0031098912167606767,0.0016787536932581252,0.035,0.054176000893759894,True,0.0006584804611330392,66.49027949999436,3583.5614136652894,0.0034005690020358914,0.027088557981626904,11,65536,False,2026-08-09 00:50:16
fixed_C_lam_harbor_450,fixed,harbor,0,0.5,3,450,142304,816,400,19,0.0057342028333708115,0.002810883741848437,0.0475,0.06892162748402886,True,0.0007764423825747343,41.38259809999727,3438.7401113901883,0.005123440206782459,0.039494256832988815,11,65536,False,2026-08-09 00:50:58
fixed_C_lam_harbor_532,fixed,harbor,0,0.5,3,532,105472,818,400,14,0.00775561286407767,0.00379247572815534,0.035,0.054176000893759894,True,0.001487574488348486,31.815513900015503,3315.112254086476,0.007084428674442922,0.03478688217220133,11,65536,False,2026-08-09 00:51:30
fixed_C_lam_harbor_650,fixed,harbor,0,0.5,3,650,120160,803,401,11,0.0066827563249001335,0.0033372170439414112,0.02743142144638404,0.044997106663669906,True,0.0015701453920923738,35.96905179999885,3340.6496414788403,0.0077715219587688456,0.033179436902449844,11,65536,False,2026-08-09 00:52:06
adaptive_A_dist_d0_L3,adaptive,clear_ocean,0,5.0,3,450,883488,10063,5000,79,0.011390081132963888,0.005659386431960593,0.0158,0.019020586578685265,True,0.004121102517914675,285.3685393999913,3095.9544519434403,0.010390705048429205,0.016426354950882422,11,65536,False,2026-08-09 12:18:15
adaptive_A_dist_d1_L3,adaptive,clear_ocean,1,10.0,3,450,1586432,10048,5000,122,0.0063337098596094885,0.0031517266419235114,0.0244,0.02830218826909067,True,0.0019805159183346565,471.8277999999991,3362.3114195475614,0.006040680527801046,0.021825403123282367,11,65536,False,2026-08-09 12:26:07
adaptive_A_dist_d2_L3,adaptive,clear_ocean,2,15.0,3,450,2127168,10036,5000,110,0.004718010049041731,0.0023505430694707704,0.022,0.025726984489565074,True,0.0015396628660660913,623.1709251000138,3413.458353594733,0.0035108369467927725,0.02680262388306994,11,65536,False,2026-08-09 12:36:30
adaptive_A_dist_d3_L3,adaptive,clear_ocean,3,20.0,3,450,3333792,8046,4000,115,0.0024134679068160223,0.0011998349027173862,0.02875,0.0334851417447402,True,0.0006921145229637043,932.2769967999775,3575.967240898548,0.002041696640462165,0.03167642968937101,11,65536,False,2026-08-09 12:52:03
adaptive_A_dist_d4_L3,adaptive,clear_ocean,4,25.0,3,450,3922304,5956,3001,101,0.001518495251770388,0.0007651115262865908,0.03365544818393869,0.039586207772561055,True,0.0003972585439475843,1063.6137923999922,3687.714495643681,0.001189251674930225,0.03689666106451924,11,65536,False,2026-08-09 13:09:47
adaptive_A_dist_d5_L3,adaptive,clear_ocean,5,30.0,3,450,4028064,3937,2000,88,0.0009773926134242156,0.0004965164406523829,0.044,0.05230656340411958,True,0.0002024640847079818,1082.2920565999812,3721.7902279114537,0.0006353764639221993,0.043955634936396606,11,65536,False,2026-08-09 13:27:49
adaptive_A_dist_d6_L3,adaptive,clear_ocean,6,35.0,3,450,6578688,2412,1200,57,0.0003666384543544245,0.0001824071912211067,0.0475,0.05887441398048924,True,6.458656919604634e-05,1748.8224912000005,3761.7814461465787,0.00027805438382544345,0.058356691546911074,11,65536,False,2026-08-09 13:56:58
adaptive_A_dist_d7_L3,adaptive,clear_ocean,7,40.0,3,450,6255808,1172,600,48,0.00018734590319907516,9.591087194491903e-05,0.08,0.10063591688268929,True,5.5612639022813565e-06,1657.8416355999943,3773.4653694687445,0.00013061992737861683,0.08454949624129844,11,65536,False,2026-08-09 14:24:36
adaptive_A_dist_d9_L3,adaptive,clear_ocean,9,50.0,3,450,6588800,297,150,24,4.5076493443419134e-05,2.2765905779504613e-05,0.16,0.2175726458723935,False,0.0,1741.7580810000072,3782.8445131812614,3.828578902742574e-05,0.19731616583077385,11,65536,False,2026-08-09 15:25:31
adaptive_D_coastal_d0_L3,adaptive,coastal,0,2.0,3,450,1012128,10065,5000,137,0.009944394384899934,0.004940086629359132,0.0274,0.03150858988019794,True,0.0029452614664526983,314.6405039000092,3216.775931434587,0.008527972063457012,0.026017145793936162,11,65536,False,2026-08-09 15:43:40
adaptive_D_coastal_d1_L3,adaptive,coastal,1,4.0,3,450,1887168,9888,5000,152,0.005239597110591108,0.0026494726489639502,0.0304,0.03470301636316075,True,0.001497191873522737,551.0278199000168,3424.814377507154,0.004067421797796844,0.03622680478399798,11,65536,False,2026-08-09 15:52:51
adaptive_A_dist_d8_L3,adaptive,clear_ocean,8,45.0,3,450,16414368,1626,810,77,9.905955562833731e-05,4.93470111063673e-05,0.09506172839506173,0.11374532861671342,False,0.0,4343.89358459998,3778.722401992627,6.686262273658539e-05,0.1296674493715541,11,65536,False,2026-08-09 17:18:29
fixed_A_dist_d8_L3,fixed,clear_ocean,8,45.0,3,450,24620064,1615,810,110,6.559690502835411e-05,3.289999571081537e-05,0.13580246913580246,0.15720600323099398,False,0.0,6511.108266199997,3781.2401504373574,6.686262273658539e-05,0.1296674493715541,11,65536,False,2026-08-09 19:29:12
adaptive_B_turb_L1,adaptive,clear_ocean,4,25.0,1,450,10485760,14274,7153,268,0.0013612747192382813,0.0006821632385253906,0.03746679714804977,0.04137255398848864,True,0.0003430594973898232,3548.296727899986,2955.1530788142013,0.001189251674930225,0.03689666106451924,11,65536,False,2026-08-10 01:11:36
adaptive_B_turb_L2,adaptive,clear_ocean,4,25.0,2,450,10485760,14825,7455,290,0.0014138221740722656,0.0007109642028808594,0.038900067069081154,0.04278683454283787,True,0.0003484763088815188,3563.6418277000193,2942.42814148568,0.001189251674930225,0.03689666106451924,11,65536,False,2026-08-10 02:11:00
adaptive_B_turb_L3,adaptive,clear_ocean,4,25.0,3,450,10485760,15118,7476,287,0.0014417648315429687,0.0007129669189453125,0.03838951310861423,0.04224746285683036,True,0.00035291364337883887,3567.822393499955,2938.9803761262065,0.001189251674930225,0.03689666106451924,11,65536,False,2026-08-10 03:10:28
adaptive_B_turb_L4,adaptive,clear_ocean,4,25.0,4,450,10485760,16363,8129,291,0.0015604972839355468,0.0007752418518066406,0.0357977611022266,0.03937441637460037,True,0.0004040304345773086,3565.3601187000168,2941.0100665576706,0.001189251674930225,0.03689666106451924,11,65536,False,2026-08-10 04:09:53
adaptive_B_turb_L5,adaptive,clear_ocean,4,25.0,5,450,10485760,17506,8773,332,0.0016695022583007812,0.0008366584777832031,0.03784338310726092,0.04136712848449428,True,0.0004207962289433002,3590.260512800014,2920.612574663069,0.001189251674930225,0.03689666106451924,11,65536,False,2026-08-10 05:09:44
adaptive_D_coastal_d0_L5,adaptive,coastal,0,2.0,5,450,990044,9925,5000,136,0.010024806978275713,0.00505028059358978,0.0272,0.03129522348488319,True,0.003021620032788669,388.72620199999983,2546.89288992153,0.008527972063457012,0.026017145793936162,11,65536,False,2026-08-10 19:01:41
adaptive_D_coastal_d2_L3,adaptive,coastal,2,6.0,3,450,3172913,7966,4000,169,0.0025106266701923436,0.0012606711876436574,0.04225,0.047860715970338724,True,0.0005616568158701069,1146.1008614000002,2768.4413360654676,0.001941251905035024,0.04365109497883406,11,65536,False,2026-08-10 19:32:26
adaptive_D_coastal_d3_L3,adaptive,coastal,3,8.0,3,450,4276262,5978,3000,141,0.0013979498917512537,0.000701547285924015,0.047,0.053858528613805225,True,0.00027701728809883706,1513.4508743999995,2825.5043307535857,0.0009295490468193002,0.05055315835707633,11,65536,False,2026-08-10 19:57:40
adaptive_D_coastal_d4_L3,adaptive,coastal,4,10.0,3,450,6607272,3979,2000,118,0.0006022152561601823,0.00030269678620768145,0.059,0.06840792629810659,True,8.47829125956257e-05,2248.4693658,2938.5643853987526,0.00044854417328565876,0.05955080089678546,11,65536,False,2026-08-12 17:46:45
adaptive_D_coastal_d5_L3,adaptive,coastal,5,13.0,3,450,6738926,1567,800,64,0.00023252963454413952,0.00011871327864410441,0.08,0.09758238787081891,True,9.19202652504434e-06,2292.36878,2939.721592264924,0.00015564409896517972,0.08598639319760694,11,65536,False,2026-08-12 18:24:58
adaptive_D_coastal_d6_L3,adaptive,coastal,6,16.0,3,450,7467118,633,300,41,8.477166157009973e-05,4.017614292421789e-05,0.13666666666666666,0.17364641012178567,False,0.0,2531.316113499999,2949.8954951443693,5.971244791569408e-05,0.14730706867951449,11,65536,False,2026-08-12 19:07:09
adaptive_D_coastal_d7_L3,adaptive,coastal,7,19.0,3,450,8396147,294,150,36,3.501606153393932e-05,1.786533751731598e-05,0.24,0.30430483176369805,False,0.0,2856.7016114,2939.105353703796,2.8296688824980265e-05,0.256515929695652,11,65536,False,2026-08-13 15:02:42
adaptive_D_harbor_d0_L3,adaptive,harbor,0,0.5,3,450,1378278,9956,5000,176,0.0072235064333900706,0.003627715163414057,0.0352,0.03979324128769175,True,0.0018766649125694184,546.5334410999999,2521.854833303448,0.005123440206782459,0.039494256832988815,11,65536,False,2026-08-13 15:11:49
adaptive_D_harbor_d1_L3,adaptive,harbor,1,1.0,3,450,2627301,8052,4000,197,0.003064742106062457,0.0015224749657538287,0.04925,0.05525202716844017,True,0.0005837123363622211,956.2519889999999,2747.4985989284046,0.0014703280283878684,0.05060024092553427,11,65536,False,2026-08-13 15:27:45
adaptive_D_harbor_d2_L3,adaptive,harbor,2,1.5,3,450,2395499,3074,1500,78,0.0012832399429095983,0.000626174337789329,0.052,0.06243586118896939,True,0.0002040834507068665,830.8409259,2883.222197323874,0.0004280375422650584,0.06270258076779563,11,65536,False,2026-08-13 15:41:36
adaptive_D_harbor_d3_L3,adaptive,harbor,3,2.0,3,450,6066179,1173,600,59,0.00019336719209901324,9.890904966701444e-05,0.09833333333333333,0.12066179773765862,False,0.0,1931.9252262999998,3139.9657281860095,0.00013115590192103177,0.0943422220892,11,65536,False,2026-08-13 16:13:48
adaptive_D_harbor_d4_L3,adaptive,harbor,4,2.5,3,450,8369056,513,250,40,6.129723591286759e-05,2.9871947325958864e-05,0.16,0.20312942145582855,False,0.0,2671.537458999999,3132.6740232692364,4.663390781900478e-05,0.17538448900644074,11,65536,False,2026-08-13 16:58:20
adaptive_D_harbor_d5_L3,adaptive,harbor,5,3.0,3,450,9630990,225,120,34,2.3362084271710386e-05,1.2459778278245538e-05,0.2833333333333333,0.3587479797453786,False,0.0,3171.2117333000006,3037.0062960059363,2.2573838763917387e-05,0.30913931539319706,11,65536,False,2026-08-13 17:51:11
adaptive_D_harbor_d6_L3,adaptive,harbor,6,3.5,3,450,8795171,141,80,36,1.603152457183607e-05,9.095900466289968e-06,0.45,0.5479542494251484,False,0.0,2988.049082200001,2943.4493069050955,1.572515463754698e-05,0.422014279234018,11,65536,False,2026-08-13 18:41:00
