water,water_name,distance_m,turb,turb_name,lam_nm,sigma2_s,sigma2_ho,sigma2_h,cv_h,L_dB,nbar,e_pol_pct,p_click,sift_eff,qber_pct,skr_bps,qber_win_std_pct,qber_win_p90_pct,outage,skr_outage_bps,secure_mean,secure_outage
clear_ocean,Clear ocean,35.0,3,MODERATE,450,0.002566339317391107,0.90880436303019,0.913703002716242,0.9558781317282251,-18.318743047369693,0.00026509296361225203,3.669513904072409,0.00027805438382544345,0.00013902719191272173,5.835669154691107,498.03221365042305,16.838966996831807,33.33333333333333,0.26475,882.3725161922652,True,False
clear_ocean,Clear ocean,40.0,3,MODERATE,450,0.007122125141854652,1.1750342298544103,1.190525095827251,1.0911118621971128,-21.847604098895424,0.00011762837440353638,3.8631123910431304,0.00013061992737861683,6.530996368930841e-05,8.454949624129844,107.09504699044388,26.670663674986777,50.0,0.4165,421.35310067708957,True,False
clear_ocean,Clear ocean,45.0,3,MODERATE,450,0.019765377942229382,1.470750275567074,1.5195855885645244,1.2327147231069013,-25.239676659815053,5.3864773640578125e-05,4.028540441455307,6.686262273658539e-05,3.343131136829269e-05,12.966744937155411,0.0,29.96719635131041,50.0,0.535,216.83292432462542,False,False
clear_ocean,Clear ocean,50.0,3,MODERATE,450,0.054853032966707224,1.7949374994821108,1.9482482982810891,1.3957966536287043,-28.523848583000557,2.52864374461462e-05,4.169897123996493,3.828578902742574e-05,1.914289451371287e-05,19.731616583077386,0.0,30.065657272099106,50.0,0.6475,119.99999999008662,False,False
clear_ocean,Clear ocean,55.0,3,MODERATE,450,0.1522285703031335,2.1467055808108473,2.6257240725425737,1.620408612832755,-31.720724398137058,1.2111559450616787e-05,4.290685053548121,2.5111328656790555e-05,1.2555664328395277e-05,27.954178849136905,0.0,29.32731204316072,100.0,0.7365,74.31655330825242,False,False
clear_ocean,Clear ocean,60.0,3,MODERATE,450,0.4224659305639694,2.5252850608579185,4.014597894596518,2.0036461500465887,-34.845517727897054,5.898216806759988e-06,4.393897180934588,1.889812273581093e-05,9.449061367905465e-06,35.76630817883178,0.0,27.72700308050599,100.0,0.80075,48.84999999596442,False,False
clear_ocean,Clear ocean,65.0,3,MODERATE,450,1.172430787019004,2.929959566691922,7.5375651544213955,2.745462648520536,-37.90978196505329,2.9126902939607356e-06,4.4820909539314755,1.5912648187232925e-05,7.956324093616463e-06,41.66842099468134,0.0,26.30555884628338,100.0,0.8445,36.849999996955766,False,False
clear_ocean,Clear ocean,70.0,3,MODERATE,450,3.2537391796659016,3.360097005130023,17.546715457865538,4.18887997654093,-40.92249774445332,1.4555352602474559e-06,4.55745168713584,1.4455515279010456e-05,7.227757639505228e-06,45.424428955031296,0.0,25.60694580455662,100.0,0.85625,32.399999997323384,False,False
clear_ocean,Clear ocean,75.0,3,MODERATE,450,9.029802668531707,3.8151377314620376,47.29488126836565,6.877127399457251,-43.89078432397418,7.348421729248967e-07,4.621846710912631,1.3734832350009718e-05,6.867416175004859e-06,47.57220983708754,0.0,25.5715008353927,100.0,0.8655,29.849999997534045,False,False
clear_ocean,Clear ocean,80.0,3,MODERATE,450,25.05957968056761,4.29454369165387,136.97358320490062,11.703571386756293,-46.82038090795105,3.74312572294965e-07,4.6768716411500835,1.3374307636149219e-05,6.687153818074609e-06,48.73154029782707,0.0,25.121849990372436,100.0,0.871,29.54999999755883,False,False
clear_ocean,Clear ocean,5.0,4,STRONG,450,0.0001,0.056303950680078166,0.056409581075146153,0.23750701268624924,-2.3690221119720003,0.01043206522849413,1.5820383619589724,0.010390705048429205,0.005195352524214603,1.6426354950882422,39393.721538574755,0.8141574049982794,2.6936026936026933,0.0,39913.10381804931,True,True
clear_ocean,Clear ocean,10.0,4,STRONG,450,0.0001,0.24529254794054658,0.24541707719534056,0.49539587926762224,-4.738044223944001,0.006045999162864238,2.079384560219974,0.006040680527801046,0.003020340263900523,2.1825403123282365,21047.51203457826,1.3784121850512232,3.9215686274509802,0.0005,21494.437628977634,True,True
clear_ocean,Clear ocean,15.0,4,STRONG,450,0.0001,0.5634133631775394,0.563569704513857,0.7507127976222712,-7.107066335916001,0.003504014313245592,2.504362116840387,0.0035108369467927725,0.0017554184733963862,2.680262388306994,11301.576019231577,2.3062513575479655,5.555555555555555,0.00775,11814.262148437163,True,True
clear_ocean,Clear ocean,20.0,4,STRONG,450,0.00012006806434905532,1.0005747294928762,1.0008149346282322,1.0004073843331187,-9.476088447888001,0.0020307836598530598,2.867501363229632,0.002041696640462165,0.0010208483202310825,3.167642968937101,6069.338806566653,8.852318502930245,8.695652173913043,0.07225,6351.1764330421665,True,True
clear_ocean,Clear ocean,25.0,4,STRONG,450,0.0003332138404455216,1.5484773477911262,1.5493265357154722,1.244719460647849,-11.845110559860004,0.0011769593113637306,3.1778003665860233,0.001189251674930225,0.0005946258374651126,3.689666106451924,3236.216440393068,14.73685099010493,16.739130434782542,0.152,3570.800867370182,True,False
clear_ocean,Clear ocean,30.0,4,STRONG,450,0.0009247376816342181,2.200508611626879,2.203468242540445,1.4844083813224866,-14.610785142785428,0.0006225783165887754,3.442947889034652,0.0006353764639221993,0.00031768823196109963,4.395563493639661,1523.9914515070188,20.675825218459853,50.0,0.25625,1861.3479223361549,True,False
